order,url,page_type,section,opt_a_link,opt_a_text,opt_a_img,opt_b_link,opt_b_text,opt_b_img,other_images,other_text,match_taxon,match_common,image_credits
10,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=5&key=10,Option-page,Section: Megachiroptera,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=138,"Option A
This key for species of Epomophorus is modified from Boulay and Robbins (1989) and Bergmans (1997).A.  The length of forearm is greater than 67 mm.B.  There is only one transverse ridge on the soft palate behind the last upper cheekteeth, and all transverse ridges on the palate in front of the last upper cheekteeth are undivided.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Epomophorus_2_1a.jpg,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=5&key=11,"Option B
This key for species of Epomophorus is modified from Boulay and Robbins (1989) and Bergmans (1997) .A.  The length of the forearm is less than 67 mm (or if greater, there is more than one transverse ridge on the soft palate behind the last upper cheekteeth).B.  There is more than one transverse ridge behind the last upper cheekteeth.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Epomophorus_2_1b.jpg,,,,,©R. Banasiak | ©R. Banasiak
6,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=5&key=3,Option-page,Section: Megachiroptera,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=5&key=13,"Option A
A. The head is rounded and the snout blunt.
B. There are 2 or more (up to 7) ridges on the soft palate behind the last teeth in the upper jaw.  These differ from ridges between the teeth by being less robust.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Chiro_Mega_2_3a.jpg,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=5&key=10,"Option B
A. The head and the snout are elongate.
B. There are 1 to 2 ridges on the soft palate behind the last teeth in the upper jaw.  These are not much different than any ridges between the teeth.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Chiro_Mega_2_3b.jpg,,,,,©P. Lai | ©P. Lai
4,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=5&key=2,Option-page,Section: Megachiroptera,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=144,"Option A
The greatest length of the forearm is shorter than 60 mm.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Chiro_Mega_2_2a.jpg,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=5&key=3,"Option B
The greatest length of the forearm is longer than 60 mm.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Chiro_Mega_2_2b.jpg,,,,,©P. Lai | ©P. Lai
20,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=148,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_P_voeltzkowi_148_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_P_voeltzkowi_148_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Description_P_voeltzkowi_148_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Description_P_voeltzkowi_148_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Description_P_voeltzkowi_148_c.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_P_voeltzkowi_148.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_P_voeltzkowi_148_b.jpg,,Pteropus,,
21,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=147,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_P_seychellensis_147_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_P_seychellensis_147_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Description_P_seychellensis_147_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Description_P_seychellensis_147_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_P_seychellensis_147.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_P_seychellensis_147_b.jpg,,Pteropus,,
19,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=5&key=7,Option-page,Section: Megachiroptera,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=148,"Option A
A.  The head is a deep red colour and the belly is orange.B.  The ears are less than 27 mm.C.  The specimen was found on Pemba Island.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Pteropus_2_1a.jpg,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=147,"Option B
A.  The mantle and belly are yellow.B.  The ears are greater than 27 mm.C.  The specimen was found on Mafia Islands.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Pteropus_2_1b.jpg,,,,,©B. Stanley | ©B. Stanley
22,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=132,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_E_helvum_132_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_E_helvum_132_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Description_E_helvum_132_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_E_helvum_132.jpg,,Eidolon,,
18,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=5&key=5,Option-page,Section: Megachiroptera,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=5&key=7,"Option A
A. There is no visible tail.
B.  There is no distinct demarcation on the back of the animal between the fur on the back and the skin of the wings.
C.  There is a distinct difference between the reddish-yellow fur of the upper back and head and the darker fur of the lower back.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Chiro_Mega_2_5a.jpg,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=132,"Option B
A. There is a short tail.
B.  There is a distinct demarcation on the back of the animal between the yellowish-brown fur on the back and the naked black skin of the wings.
C.  There is no difference between the fur of the upper back and head and the fur of the lower back.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Chiro_Mega_2_5b.jpg,,,,,©P. Lai | ©P. Lai
24,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=145,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_M_relicta_145_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Description_M_relicta_145_a.jpg,,Myonycteris,,
26,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=149,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_R_aegyptiacus_149_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_R_aegyptiacus_149_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_R_aegyptiacus_149.jpg,,Rousettus,,
28,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=150,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_R_lanosus_150_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_R_lanosus_150_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Description_R_lanosus_150_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Description_R_lanosus_150_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_R_lanosus_150.jpg,,Rousettus,,
29,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=142,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_L_angolensis_142_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_L_angolensis_142_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Description_L_angolensis_142_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_L_angolensis_142.jpg,,Lissonycteris,,
27,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=5&key=9,Option-page,Section: Megachiroptera,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=150,"Option A
A.  The tibia is greater than 35 mm.B.  There is no collar of stiff hairs in males.C.  The tail is approximately 10 mm.D.  The cheek teeth are very narrow.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Rousettus_2_2a.jpg,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=142,"Option B
A.  The tibia is less than 35 mm.B.  There is a collar of stiff hairs in adult males.C.  The tail is inconspicuous.D.  The cheek teeth are broad.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Rousettus_2_2b.jpg,,,,,©R. Banasiak | ©R. Banasiak
25,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=5&key=8,Option-page,Section: Megachiroptera,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=149,"Option A
A.  The forearm is greater than 90 mm.B.  The dorsal pelage is sparse between the shoulders.C.  There is no collar of stiff hairs in males.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Rousettus_2_1a.jpg,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=5&key=9,"Option B
A.  The forearm is less than 90 mm.B.  The dorsal pelage is not sparse between the shoulders.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Rousettus_2_1b.jpg,,,,,©R. Banasiak | ©R. Banasiak
23,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=5&key=6,Option-page,Section: Megachiroptera,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=145,"Option A
The greatest length of the forearm is shorter than 65 mm.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Chiro_Mega_2_6a.jpg,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=5&key=8,"Option B
The greatest length of the forearm is longer than 65 mm.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Chiro_Mega_2_6b.jpg,,,,,©P. Lai | ©P. Lai
17,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=5&key=4,Option-page,Section: Megachiroptera,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=5&key=5,"Option A
The greatest length of the forearm is longer than 110 mm.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Chiro_Mega_2_4a.jpg,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=5&key=6,"Option B
The greatest length of the forearm is shorter than 110 mm.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Chiro_Mega_2_4b.jpg,,,,,©P. Lai | ©P. Lai
3,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=5&key=1,Option-page,Section: Megachiroptera,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=5&key=2,"Option A
A. There is a white or yellow tuft of hair at the base of each ear.
B. The males have a white or yellow tuft of hair on the shoulders.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Chiro_Mega_2_1a.jpg,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=5&key=4,"Option B
A. There is no white or yellow tuft of hair at the base of each ear.
B.  The males do not have a white or yellow tuft of hair on the shoulders, but may have a collar of coarse hair on the neck.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Chiro_Mega_2_1b.jpg,,,,,©P. Lai | ©P. Lai
32,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=179,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_L_frons_179_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_L_frons_179_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_L_frons_179.jpg,,Lavia,,
33,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=178,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_C_cor_178_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_C_cor_178_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_C_cor_178.jpg,,Cardioderma,,
31,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=9&key=1,Option-page,Section: Megadermatidae,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=179,"Option A
A. The noseleaf is longer than 15 mm and is blunt on the tip.
B.  The tragus is more than half the length of the ear. 
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Megaderm_2_1a.jpg,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=178,"Option B
A. The noseleaf is shorter than 15 mm and is rounded on the tip.
B.  The tragus is less than half the length of the ear. 
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Megaderm_2_1b.jpg,,,,,©P. Lai | ©B. Stanley
38,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=196,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_N_nana_196_b.jpg,,Nycteris,,
39,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=190,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_N_arge_190_b.jpg,,Nycteris,,
37,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=6&key=18,Option-page,Section: Microchiroptera,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=196,"Option A
The condylocanine length of the skull is greater than 15 mm.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Nycteris_2_2a.jpg,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=190,"Option B
The condylocanine length of the skull is less than 15 mm.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Nycteris_2_2b.jpg,,,,,©R. Banasiak | ©R. Banasiak
42,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=192,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_N_grandis_192_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_N_grandis_192_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_N_grandis_192.jpg,,Nycteris,,
43,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=193,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_N_hispida_193_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_N_hispida_193_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_N_hispida_193.jpg,,Nycteris,,
41,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=6&key=20,Option-page,Section: Microchiroptera,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=192,"Option A
A.  The length of the forearm is greater than 50 mm.B.  The ear is longer than 26 mm.C.  The condylocanine length of the skull is greater than 18 mm.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Nycteris_2_4a.jpg,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=193,"Option B
A.  The length of the forearm is less than 50 mm.B.  The ear is shorter than 26 mm.C.  The condylocanine length of the skull is less than 18 mm.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Nycteris_2_4b.jpg,,,,,©R. Banasiak | ©R. Banasiak
46,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=195,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_N_macrotis_195_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_N_macrotis_195.jpg,,Nycteris,,
47,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=198,Match-page,,,,,,,,,,Nycteris,,
45,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=6&key=22,Option-page,Section: Microchiroptera,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=195,"Option A
The length of the forearm is greater than 36 mm.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Nycteris_2_6a.jpg,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=198,"Option B
The length of the forearm length is less than 36 mm.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Nycteris_2_6b.jpg,,,,,©R. Banasiak | ©R. Banasiak
48,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=197,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_N_thebaica_197_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_N_thebaica_197_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_N_thebaica_197.jpg,,Nycteris,,
44,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=6&key=21,Option-page,Section: Microchiroptera,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=6&key=22,"Option A
The tragus is semilunate.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Nycteris_2_5a.jpg,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=197,"Option B
The tragus is lollipop-shaped.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Nycteris_2_5b.jpg,,,,,©R. Banasiak | ©R. Banasiak
40,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=6&key=19,Option-page,Section: Microchiroptera,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=6&key=20,"Option A
The upper incisors are trifid.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Nycteris_2_3a.jpg,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=6&key=21,"Option B
The upper incisors are bifid.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Nycteris_2_3b.jpg,,,,,©R. Banasiak | ©R. Banasiak
36,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=6&key=17,Option-page,Section: Microchiroptera,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=6&key=18,"Option A
This key to Nycteris is based on Koopman (1975) and Meester, et al. (1986).The crown of the smallest tooth in the lower toothrow (the posterior lower premolar) rises significantly above the cingulum of the tooth on either side of it (the anterior upper premolar and the 1st upper molar).
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Nycteris_2_1a.jpg,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=6&key=19,"Option B
The crown of the smallest tooth in the lower toothrow (the posterior lower premolar) rises either just below or even with the cingulum of the tooth on either side of it (the anterior upper premolar and the 1st upper molar).
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Nycteris_2_1b.jpg,,,,,©R. Banasiak | ©R. Banasiak
51,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=158,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_R_hildebrandtii_158_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_R_hildebrandtii_158_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_R_hildebrandtii_158.jpg,,Rhinolophus,,
55,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=156,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Maps_R_eloquens_156.jpg,,Rhinolophus,,
56,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=157,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_R_fumigatus_157_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_R_fumigatus_157.jpg,,Rhinolophus,,
54,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=6&key=10,Option-page,Section: Microchiroptera,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=156,"Option A
Distance from the front of the canine to the most posterior aspect of the skull is greater than 24.5 mm.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Rhinolophus_2_4a.jpg,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=157,"Option B
Distance from the front of the canine to the most posterior aspect of the skull is less than 24.5 mm.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Rhinolophus_2_4b.jpg,,,,,©R. Banasiak | ©R. Banasiak
57,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=155,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_R_deckenii_155_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_R_deckenii_155_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_R_deckenii_155.jpg,,Rhinolophus,,
53,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=6&key=9,Option-page,Section: Microchiroptera,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=6&key=10,"Option A
A.  The ratio of the 3rd metacarpal to the 4th is generally greater than 90%.B.  The upper canine is in contact with the posterior upper premolar.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Rhinolophus_2_3a.jpg,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=155,"Option B
A.  The ratio of the 3rd metacarpal to the 4th is less than 90%.B.  The upper canine is not in contact with the posterior upper premolar and the two are separated by a very fine gap.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Rhinolophus_2_3b.jpg,,,,,©R. Banasiak | ©R. Banasiak
59,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=153,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_R_clivosus_153_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_R_clivosus_153_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_R_clivosus_153.jpg,,Rhinolophus,,
63,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=159,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_R_landeri_159_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_R_landeri_159.jpg,,Rhinolophus,,
64,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=152,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_R_blasii_152_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_R_blasii_152.jpg,,Rhinolophus,,
62,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=6&key=14,Option-page,Section: Microchiroptera,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=159,"Option A
A.  The first phalanx of the fourth finger is less than 24% of the length of the metacarpal.B.  The sella is constricted in the middle (and not wedge shaped).C.  The connecting process is not always pointed.D. The width of the 2nd molar is less then half the width of the palate between the second molars.E. Males are often observed with red axillary tufts in the ""armpits"".
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Rhinolophus_2_8a.jpg,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=152,"Option B
A.  The first phalanx of the fourth finger is greater than 24% of the length of the metacarpal.B.  The sella is wedge shaped (and not constricted in the middle).C.  The connecting process is sharply pointed and erect.D. The width of the 2nd molar is less then half the width of the palate between the second molars.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Rhinolophus_2_8b.jpg,,,,,©R. Banasiak | ©R. Banasiak
65,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=165,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_R_swinnyi_165_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_R_swinnyi_165.jpg,,Rhinolophus,,
